,OPEN,CLOSE,VOLUME,ADJFACTOR,DIV_CAPITALIZATION,DIV_STOCK
20190730,30.99,30.48,9283193.0,22.148222,,
20190731,30.49,30.49,6388371.0,22.148222,,
20190801,30.53,30.24,6992605.0,22.148222,,
20190802,29.92,30.45,14489248.000000002,22.148222,,
20190805,30.35,29.68,12004090.0,22.148222,,
20190806,29.19,29.1,13446456.0,22.148222,,
20190807,29.31,29.87,11322208.0,22.148222,,
20190808,29.87,30.9,16300410.999999998,22.148222,,
20190809,31.0,30.88,11488041.0,22.148222,,
20190812,31.0,31.09,9506746.0,22.148222,,
20190813,30.92,30.99,5864361.0,22.148222,,
20190814,31.33,31.55,12024120.0,22.148222,,
20190815,31.22,31.65,13261282.0,22.148222,,
20190816,31.75,31.88,13035702.0,22.148222,,
20190819,32.19,32.08,12353387.0,22.148222,,
20190820,32.01,32.0,8640236.0,22.148222,,
20190821,32.0,31.77,7053746.000000001,22.148222,,
20190822,31.84,32.82,14668839.000000002,22.148222,,
20190823,32.65,33.57,19110322.0,22.148222,,
20190826,33.3,33.52,13482389.000000002,22.148222,,
20190827,33.8,34.01,17888920.0,22.148222,,
20190828,34.21,34.1,9447469.0,22.148222,,
20190829,34.0,33.29,15152646.0,22.148222,,
20190830,33.44,33.78,19524472.0,22.148222,,
20190902,34.05,34.17,16987743.0,22.148222,,
20190903,34.28,34.03,12548096.0,22.148222,,
20190904,34.0,33.95,12396048.0,22.148222,,
20190905,34.02,33.68,14124571.0,22.148222,,
20190906,34.16,33.9,10427814.0,22.148222,,
20190909,34.16,34.33,15412207.999999998,22.148222,,
20190910,34.43,34.3,13518865.0,22.148222,,
20190911,34.47,33.96,13517670.000000002,22.148222,,
20190912,34.01,33.87,9139927.0,22.148222,,
20190916,33.95,34.17,8173657.000000001,22.148222,,
20190917,33.98,33.64,8628332.0,22.148222,,
20190918,33.64,34.51,16471394.0,22.148222,,
20190919,34.68,35.57,19665526.0,22.148222,,
20190920,35.75,35.55,11738728.0,22.148222,,
20190923,35.63,35.29,9556206.0,22.148222,,
20190924,35.45,35.75,10498253.0,22.148222,,
20190925,35.55,35.26,13480645.000000002,22.148222,,
20190926,35.41,35.35,9475817.0,22.148222,,
20190927,35.38,35.16,8387342.999999999,22.148222,,
20190930,35.16,35.47,11337412.0,22.148222,,
20191008,35.2,36.08,11252067.0,22.148222,,
20191009,36.03,35.43,9111505.0,22.148222,,
20191010,35.47,36.8,14413735.0,22.148222,,
20191011,36.8,36.58,9179974.0,22.148222,,
20191014,36.95,36.6,8847917.0,22.148222,,
20191015,36.8,37.2,11031278.0,22.148222,,
20191016,37.35,37.98,17882668.0,22.148222,,
20191017,38.12,38.08,11309581.0,22.148222,,
20191018,37.92,37.84,11841995.0,22.148222,,
20191021,37.66,37.09,16520137.0,22.148222,,
20191022,37.37,38.18,11628996.0,22.148222,,
20191023,38.18,38.18,0.0,22.148222,,
20191024,38.18,38.18,0.0,22.148222,,
20191025,38.18,38.18,0.0,22.148222,,
20191028,38.18,38.18,0.0,22.148222,,
20191029,38.18,38.18,0.0,22.148222,,
20191030,38.81,40.09,28772909.999999996,22.148222,,
20191031,39.59,39.56,17121705.0,22.148222,,
20191101,39.62,41.94,21992721.0,22.148222,,
20191104,41.4,42.21,14462721.0,22.148222,,
20191105,42.15,41.95,12684965.0,22.148222,,
20191106,41.7,40.81,24501140.0,22.148222,,
20191107,40.7,41.4,14499949.0,22.148222,,
20191108,41.78,41.4,10548891.0,22.148222,,
20191111,41.18,41.64,13259151.0,22.148222,,
20191112,41.63,43.13,18153216.0,22.148222,,
20191113,43.12,45.62,24902868.0,22.148222,,
20191114,45.15,45.9,14192206.0,22.148222,,
20191115,45.88,45.13,13564824.0,22.148222,,
20191118,44.9,45.6,14370790.0,22.148222,,
20191119,45.55,47.75,21583347.0,22.148222,,
20191120,47.55,47.06,23133658.0,22.148222,,
20191121,46.6,44.0,44705126.0,22.148222,,
20191122,43.66,41.99,57980461.0,22.148222,,
20191125,42.0,41.8,29697138.0,22.148222,,
20191126,42.1,41.94,25477031.0,22.148222,,
20191127,41.74,41.39,27526976.0,22.148222,,
20191128,41.59,41.82,16687524.0,22.148222,,
20191129,41.43,39.92,36170252.0,22.148222,,
20191202,39.83,39.98,18887745.0,22.148222,,
20191203,39.78,40.34,18652171.0,22.148222,,
20191204,40.34,40.3,15282267.000000002,22.148222,,
20191205,40.5,40.69,20112569.0,22.148222,,
20191206,40.6,41.3,19001917.0,22.148222,,
20191209,41.35,39.99,25080585.0,22.148222,,
20191210,39.59,40.23,17272361.0,22.148222,,
20191211,40.39,40.2,10942293.0,22.148222,,
20191212,40.19,39.93,10628839.0,22.148222,,
20191213,40.3,40.83,19826728.0,22.148222,,
20191216,40.9,40.15,27234411.0,22.148222,,
20191217,39.93,40.35,24298271.0,22.148222,,
20191218,40.2,39.53,23463527.0,22.148222,,
20191219,39.6,39.44,16823419.0,22.148222,,
20191220,39.65,39.0,16778007.0,22.148222,,
20191223,39.03,39.14,15934060.0,22.148222,,
20191224,39.15,38.49,19325482.0,22.148222,,
20191225,38.4,38.97,14742234.0,22.148222,,
20191226,39.18,39.0,14266760.999999998,22.148222,,
20191227,38.74,38.56,15945871.0,22.148222,,
20191230,38.3,38.68,16174893.0,22.148222,,
20191231,38.76,39.56,22980294.0,22.148222,0.0,0.3
20200102,39.86,39.5,21044677.0,22.148222,,
20200103,39.6,39.39,19790793.0,22.148222,,
20200106,39.29,38.54,27147701.0,22.148222,,
20200107,38.57,39.19,21083393.0,22.148222,,
20200108,39.03,38.81,17637083.0,22.148222,,
20200109,39.3,41.44,50739946.0,22.148222,,
20200110,41.94,41.76,26621395.0,22.148222,,
20200113,41.33,41.53,23979918.0,22.148222,,
20200114,41.11,41.22,20220162.0,22.148222,,
20200115,41.22,41.08,15571357.999999998,22.148222,,
20200116,41.12,42.66,35919745.0,22.148222,,
20200117,42.63,42.99,26954876.0,22.148222,,
20200120,43.4,43.04,20049273.0,22.148222,,
20200121,43.0,42.75,16676887.0,22.148222,,
20200122,42.5,42.38,17595830.0,22.148222,,
20200123,41.89,40.0,42563268.0,22.148222,,
20200203,36.5,36.83,56771260.0,22.148222,,
20200204,37.2,39.28,35843985.0,22.148222,,
20200205,39.87,39.76,32115053.000000004,22.148222,,
20200206,39.38,40.34,23422017.0,22.148222,,
20200207,40.0,40.3,19629430.0,22.148222,,
20200210,40.25,41.12,22392633.0,22.148222,,
20200211,41.1,41.9,21163416.0,22.148222,,
20200212,41.7,41.78,16797152.0,22.148222,,
20200213,41.6,41.32,18009447.0,22.148222,,
20200214,41.02,41.11,15563071.0,22.148222,,
20200217,41.12,42.18,21042462.0,22.148222,,
20200218,42.22,42.12,17214367.0,22.148222,,
20200219,42.01,41.51,13295464.000000002,22.148222,,
20200220,41.55,43.8,36888140.0,22.148222,,
20200221,43.6,43.3,19008678.0,22.148222,,
20200224,42.7,42.7,23468500.0,22.148222,,
20200225,41.82,42.38,17961710.0,22.148222,,
20200226,41.84,40.79,25490544.0,22.148222,,
20200227,40.89,41.67,17364773.0,22.148222,,
20200228,39.9,40.0,19299620.0,22.148222,,
20200302,40.55,42.0,23356574.0,22.148222,,
20200303,42.58,42.42,22238504.0,22.148222,,
20200304,42.0,43.6,28453411.0,22.148222,,
20200305,43.64,44.71,32582958.0,22.148222,,
20200306,44.63,44.9,20119394.0,22.148222,,
20200309,44.72,43.99,20516022.0,22.148222,,
20200310,43.76,43.93,25811310.0,22.148222,,
20200311,43.99,43.16,14573248.000000002,22.148222,,
20200312,42.7,41.58,25199840.0,22.148222,,
20200313,39.5,41.15,35853855.0,22.148222,,
20200316,41.14,38.96,26180010.0,22.148222,,
20200317,39.0,38.34,26593590.000000004,22.148222,,
20200318,38.8,38.05,23943459.0,22.148222,,
20200319,37.8,36.0,63007054.0,22.148222,,
20200320,36.54,36.11,30468423.0,22.148222,,
20200323,35.0,34.2,29605826.0,22.148222,,
20200324,35.16,37.26,39700495.0,22.148222,,
20200325,38.74,38.67,30628957.0,22.148222,,
20200326,38.27,38.8,14937974.0,22.148222,,
20200327,39.3,38.82,17790788.0,22.148222,,
20200330,38.12,38.15,16356738.0,22.148222,,
20200331,38.65,39.38,16623068.0,22.148222,,
20200401,39.25,38.91,14091981.0,22.148222,,
20200402,38.78,39.5,9669036.0,22.148222,,
20200403,39.51,39.38,8981703.0,22.148222,,
20200407,39.92,40.33,14263654.0,22.148222,,
20200408,40.0,40.26,9606153.0,22.148222,,
20200409,40.41,41.88,20925475.0,22.148222,,
20200410,41.9,42.89,28247269.0,22.148222,,
20200413,42.67,42.58,11223386.0,22.148222,,
20200414,43.01,43.74,16211814.000000002,22.148222,,
20200415,43.9,43.31,14996960.999999998,22.148222,,
20200416,43.3,43.06,12821697.0,22.148222,,
20200417,43.1,43.09,14041068.0,22.148222,,
20200420,43.44,43.0,11973913.0,22.148222,,
20200421,43.0,42.4,12408425.0,22.148222,,
20200422,42.68,44.03,20670242.0,22.148222,,
20200423,44.03,44.03,0.0,22.148222,,
20200424,43.94,43.96,20019116.0,22.148222,,
20200427,44.03,44.3,17353373.0,22.148222,,
20200428,44.05,45.09,17280435.0,22.148222,,
20200429,44.95,45.68,16489249.0,22.148222,,
20200430,45.6,44.39,16972041.0,22.148222,,
20200506,44.31,45.49,17246767.0,22.148222,,
20200507,45.7,46.58,14076897.0,22.148222,,
20200508,46.68,46.8,12904919.0,22.148222,,
20200511,47.25,45.6,15259794.0,22.148222,,
20200512,45.86,46.32,11659588.0,22.148222,,
20200513,46.32,48.3,22515070.0,22.148222,,
20200514,48.07,47.91,13980793.0,22.148222,,
20200515,47.65,47.74,11816351.0,22.148222,,
20200518,47.5,49.1,17260707.0,22.148222,,
20200519,49.21,48.75,12599945.0,22.148222,,
20200520,48.9,47.89,17156077.0,22.148222,,
20200521,47.94,48.88,15280807.999999998,22.148222,,
20200522,49.0,47.87,12117213.0,22.148222,,
20200525,47.9,48.71,11630997.0,22.148222,,
20200526,48.98,50.02,12478342.0,22.148222,,
20200527,50.02,49.29,10491449.0,22.148222,,
20200528,37.99,37.65,16516821.0,28.880578,,
20200529,37.5,39.16,29064914.0,28.880578,,
20200601,39.2,40.33,20771086.0,28.880578,,
20200602,40.03,39.3,21691692.0,28.880578,,
20200603,39.39,39.15,19432316.0,28.880578,,
20200604,39.2,40.02,20460485.0,28.880578,,
20200605,39.65,40.5,19680157.0,28.880578,,
20200608,40.49,39.98,19359046.0,28.880578,,
20200609,39.78,40.59,13142641.0,28.880578,,
20200610,40.53,41.8,23313859.0,28.880578,,
20200611,41.7,41.42,16601090.0,28.880578,,
20200612,40.92,41.96,22597197.0,28.880578,,
20200615,42.33,41.88,18836790.0,28.880578,,
20200616,42.19,43.2,18725305.0,28.880578,,
20200617,43.17,43.64,23842883.0,28.880578,,
20200618,43.4,44.22,19558422.0,28.880578,,
20200619,44.2,46.3,30831500.0,28.880578,,
20200622,46.0,45.76,36036512.0,28.880578,,
20200623,45.5,46.08,27397114.0,28.880578,,
20200624,45.7,44.05,61418263.0,28.880578,,
20200629,43.95,43.1,51123574.0,28.880578,,
20200630,43.1,43.45,32850805.0,28.880578,,
20200701,43.9,43.46,23331969.0,28.880578,,
20200702,43.46,42.3,40074479.0,28.880578,,
20200703,41.97,43.25,43483497.0,28.880578,,
20200706,43.01,43.5,46048041.0,28.880578,,
20200707,43.0,44.38,52587062.0,28.880578,,
20200708,44.38,44.72,37765211.0,28.880578,,
20200709,44.35,46.35,40727069.0,28.880578,,
20200710,45.93,45.93,33417538.0,28.880578,,
20200713,45.93,46.83,39377354.0,28.880578,,
20200714,46.74,45.92,32703957.0,28.880578,,
20200715,45.93,47.71,46185189.0,28.880578,,
20200716,47.6,44.2,46433953.0,28.880578,,
20200717,44.35,44.19,32505436.0,28.880578,,
20200720,44.44,43.95,27525395.0,28.880578,,
20200721,43.95,45.3,30295755.0,28.880578,,
20200722,45.0,45.8,24882369.0,28.880578,,
20200723,45.45,46.08,25961050.0,28.880578,,
20200724,45.8,44.0,30663949.0,28.880578,,
20200727,44.0,46.0,34746423.0,28.880578,,
